Studio Names or Mentions,Citation 1,Citation 2,Media Link 3,Meda Link 3,Latitude,Longitude,Collection (Omeka),More Info on the Archive Link (Omeka)
Integral Yoga Institute,"Alcorn, Ted. “Is This the End of the New York Yoga Studio?” The New York Times. The New York Times, September 17, 2020. https://www.nytimes.com/2020/09/17/nyregion/coronavirus-nyc-yoga-studios.html",,,,40.7402938688484,-74.0016017388443,Manhattan Yoga,https://nycyogastudiosarchive.omeka.net/items/show/98
Iyengar (Chelsea),"Alcorn, Ted. “Is This the End of the New York Yoga Studio?” The New York Times. The New York Times, September 17, 2020. https://www.nytimes.com/2020/09/17/nyregion/coronavirus-nyc-yoga-studios.html",,,,40.74306848690659,-73.9953714322914,Chain Location Closed/Relocated,https://nycyogastudiosarchive.omeka.net/items/show/303
Iyengar (DTBK),"Alcorn, Ted. “Is This the End of the New York Yoga Studio?” The New York Times. The New York Times, September 17, 2020. https://www.nytimes.com/2020/09/17/nyregion/coronavirus-nyc-yoga-studios.html",,,,40.6845474,-73.9803149,Chain Location Closed/Relocated,https://nycyogastudiosarchive.omeka.net/items/show/224
Kula Yoga Project (TriBeCa),"“How Will Our Local Studios Survive?” Tribeca Citizen, January 21, 2021. https://tribecacitizen.com/2021/01/21/how-will-our-local-studios-survive/.","“Y7 Studio Has Closed Permanently, Joining Four Others.” Tribeca Citizen. June 24, 2021. https://tribecacitizen.com/2021/06/24/y7-yoga-studio-has-closed-permanently-joining-four-others/.","Alcorn, Ted. “Is This the End of the New York Yoga Studio?” The New York Times. The New York Times, September 17, 2020. https://www.nytimes.com/2020/09/17/nyregion/coronavirus-nyc-yoga-studios.html",,40.71460574244189,-74.00790327438261,Chain Location Closed,https://nycyogastudiosarchive.omeka.net/items/show/295
Loom Yoga ,"Kott, Julia. “Support Local Fitness Studios and Workout Online.” Greenpointers, January 22, 2021. https://greenpointers.com/2021/01/22/greenpoint-fitness-studios-2021/.",,,,40.711404284840036,-73.96115442237927,Brooklyn Yoga,https://nycyogastudiosarchive.omeka.net/items/show/102
Lyons Den Power Yoga (TriBeCa),"“Lyons Den Has Closed Its (Original) Tribeca Location.” Tribeca Citizen, February 26, 2021. https://tribecacitizen.com/2021/02/26/lyons-den-has-closed-its-original-tribeca-location/.","“How Will Our Local Studios Survive?” Tribeca Citizen, January 21, 2021. https://tribecacitizen.com/2021/01/21/how-will-our-local-studios-survive/.",,,40.7186159,-74.0047419,Chain Location Closed,https://nycyogastudiosarchive.omeka.net/items/show/30
Lyons Den (Chelsea),"Adelson, Karen Iorio. “Everything You Need for At-Home Hot Yoga, According to Instructors.” The Strategist, March 1, 2021. https://nymag.com/strategist/article/everything-you-need-for-at-home-hot-yoga.html. ",,,,40.741342,-73.9997,,https://nycyogastudiosarchive.omeka.net/items/show/104
Medicine For The Soul Yoga,"Jessica Moreida, “Support NYC Local Workout and Yoga Studios during COVID-19!” Recoup Wellness, May 29, 2020. https://www.recoupwellness.com/blogs/news/support-nyc-local-workout-and-yoga-studios-during-covid-19.",,,,40.7763038923002,-73.9520129593188,Closed Yoga Studios,https://nycyogastudiosarchive.omeka.net/items/show/288
Modo Yoga,"Vadnal, Julie. “The Best Online Yoga Classes, According to an Obsessive Yogi.” The Strategist, August 20, 2020. https://nymag.com/strategist/article/best-online-yoga-classes.html. ",,,,40.7166589,-73.9629328,Manhattan Yoga,https://nycyogastudiosarchive.omeka.net/items/show/108
New Love City,"Kott, Julia. “Support Local Fitness Studios and Workout Online.” Greenpointers, January 22, 2021. https://greenpointers.com/2021/01/22/greenpoint-fitness-studios-2021/.",,,,40.7295188,-73.9582448,Brooklyn Yoga,https://nycyogastudiosarchive.omeka.net/items/show/109
New York Yoga,"Adelson, Karen Iorio. “Everything You Need for At-Home Hot Yoga, According to Instructors.” The Strategist, March 1, 2021. https://nymag.com/strategist/article/everything-you-need-for-at-home-hot-yoga.html. ",,,,40.780210931905344,-73.95619483416937,Manhattan Yoga,https://nycyogastudiosarchive.omeka.net/items/show/111
NY Loves Yoga,"Kava, Lisa. “Updated: NYC Indoor Yoga and Fitness Studios Remain Closed; Here Are Some Outdoor and Private Indoor Options.” West Side Rag, March 17, 2021. https://www.westsiderag.com/2021/03/17/nyc-indoor-yoga-and-fitness-studios-remain-closed-here-are-some-outdoor-and-private-indoor-options.",,,,40.78525625142389,-73.97513656989968,Manhattan Yoga,https://nycyogastudiosarchive.omeka.net/items/show/112
Om Factory,"Alcorn, Ted. “Is This the End of the New York Yoga Studio?” The New York Times. The New York Times, September 17, 2020. https://www.nytimes.com/2020/09/17/nyregion/coronavirus-nyc-yoga-studios.html",,,,40.738351802054,-73.9903551741355,Manhattan Yoga,https://nycyogastudiosarchive.omeka.net/items/show/114
One Yoga House,"Haddad, Anna. “A Yoga Studio Owner's Journey During a Pandemic - Well Defined 2023.” Well Defined, March 10, 2021. https://welldefined.com/a-yoga-studio-owners-journey-during-a-pandemic",,,,40.701751454252786,-73.99591310232705,Brooklyn Yoga,https://nycyogastudiosarchive.omeka.net/items/show/160
Park Slope Yoga Center,"Hughes, C. J. “They Had Big Plans for the Lockdown. This Is What Happened.” The New York Times. The New York Times, September 25, 2020. https://www.nytimes.com/2020/09/25/realestate/coronavirus-lockdown-self-improvement.html. ",,,,40.674922,-73.9760946,Closed Yoga Studios,https://nycyogastudiosarchive.omeka.net/items/show/117
Shri Yoga,"“Y7 Studio Has Closed Permanently, Joining Four Others.” Tribeca Citizen. June 24, 2021. https://tribecacitizen.com/2021/06/24/y7-yoga-studio-has-closed-permanently-joining-four-others/.",,,,40.72519385820002,-74.0091193170891,Closed Yoga Studios,https://nycyogastudiosarchive.omeka.net/items/show/312
Sky Ting (Domino),"Vadnal, Julie. “The Best Online Yoga Classes, According to an Obsessive Yogi.” The Strategist, August 20, 2020. https://nymag.com/strategist/article/best-online-yoga-classes.html. ",,,,40.7130485,-73.9661536,Chain Location Closed,https://nycyogastudiosarchive.omeka.net/items/show/40
Sky Ting (TriBeCa),"“Y7 Studio Has Closed Permanently, Joining Four Others.” Tribeca Citizen. June 24, 2021. https://tribecacitizen.com/2021/06/24/y7-yoga-studio-has-closed-permanently-joining-four-others/.",,,,40.718158649653944,-74.00605664397725,Chain Location Closed,https://nycyogastudiosarchive.omeka.net/items/show/214
Sivananda Yoga Vedanta Centre,"Alcorn, Ted. “Is This the End of the New York Yoga Studio?” The New York Times. The New York Times, September 17, 2020. https://www.nytimes.com/2020/09/17/nyregion/coronavirus-nyc-yoga-studios.html","""How a 60 Year Old Yoga Organisation Came Online in 6 Weeks - Google Arts & Culture."" https://g.co/arts/AxHG3AcjyuXWGR8P7/",,,40.744765,-73.9951595,Manhattan Yoga,https://nycyogastudiosarchive.omeka.net/items/show/124
Sonic Yoga,"Jessica Moreida, “Support NYC Local Workout and Yoga Studios during COVID-19!” Recoup Wellness, May 29, 2020. https://www.recoupwellness.com/blogs/news/support-nyc-local-workout-and-yoga-studios-during-covid-19.",,,,40.7658052,-73.9833111,Manhattan Yoga,https://nycyogastudiosarchive.omeka.net/items/show/126
Souk,"Epstein, Jaimie. How Studios Are Staying Relevant During The Pandemic, July 10, 2020. https://yogainternational.com/article/view/how-studios-are-staying-relevant-during-the-pandemic/. ",,,,40.74511724059648,-73.98930460453965,Manhattan Yoga,https://nycyogastudiosarchive.omeka.net/items/show/127
Stacked Yoga,"Arinde, Nayaba. “Summering in the City.” New York Amsterdam News, July 30, 2020. https://amsterdamnews.com/news/2020/07/30/summering-city/.",,,,40.682725415878465,-73.94369135792665,Closed Yoga Studios,https://nycyogastudiosarchive.omeka.net/items/show/41
Tangerine Yoga ,"“Balance of Strength and Freedom - Tangerine."" Interview with Laura Adelson.  Subkit Community. May 6, 2022. https://gosolo.subkit.com/tangerine-yoga/. ",,,,40.68905564833968,-73.98504908679749,Brooklyn Yoga,https://nycyogastudiosarchive.omeka.net/items/show/133
The Yoga Shanti (TriBeCa),"“Yoga Shanti Says Namaste to Tribeca.” Tribeca Citizen, July 17, 2020. https://tribecacitizen.com/2020/07/17/yoga-shanti-says-namaste-to-tribeca/.","“Y7 Studio Has Closed Permanently, Joining Four Others.” Tribeca Citizen. June 24, 2021. https://tribecacitizen.com/2021/06/24/y7-yoga-studio-has-closed-permanently-joining-four-others/.","“How Will Our Local Studios Survive?” Tribeca Citizen, January 21, 2021. https://tribecacitizen.com/2021/01/21/how-will-our-local-studios-survive/.",,40.714174,-74.007974,Chain Location Closed,https://nycyogastudiosarchive.omeka.net/items/show/212
Three Jewels,"Grieve, EV. “A List of East Village Crowdfunding Campaigns.” East Village Grieve, April 20, 13AD. https://evgrieve.com/2020/04/a-list-of-east-village-crowdfunding.html.",,,,40.726159,-73.991255,Manhattan Yoga,https://nycyogastudiosarchive.omeka.net/items/show/138
Upper West Side Yoga and Wellness,"Kava, Lisa. “Updated: NYC Indoor Yoga and Fitness Studios Remain Closed; Here Are Some Outdoor and Private Indoor Options.” West Side Rag, March 17, 2021. https://www.westsiderag.com/2021/03/17/nyc-indoor-yoga-and-fitness-studios-remain-closed-here-are-some-outdoor-and-private-indoor-options.","Jessica Moreida, “Support NYC Local Workout and Yoga Studios during COVID-19!” Recoup Wellness, May 29, 2020. https://www.recoupwellness.com/blogs/news/support-nyc-local-workout-and-yoga-studios-during-covid-19.",,,40.785793519323036,-73.97209564229233,Manhattan Yoga,https://nycyogastudiosarchive.omeka.net/items/show/139
Usha Veda,"Kott, Julia. “Support Local Fitness Studios and Workout Online.” Greenpointers, January 22, 2021. https://greenpointers.com/2021/01/22/greenpoint-fitness-studios-2021/.",,,,40.733442148540234,-73.95451531881511,Closed Yoga Studios,https://nycyogastudiosarchive.omeka.net/items/show/46
Verayoga (TriBeCa),"Rosman, Katherine. “These People Really Did Not Want to Give up Their Hot Yoga.” The New York Times. The New York Times, February 3, 2021. https://www.nytimes.com/2021/02/03/style/hot-yoga-at-home.html.",,,,40.71969141772663,-74.0017640969306,Manhattan Yoga,https://nycyogastudiosarchive.omeka.net/items/show/142
Y7 Studio (SoHo),"Vadnal, Julie. “The Best Online Yoga Classes, According to an Obsessive Yogi.” The Strategist, August 20, 2020. https://nymag.com/strategist/article/best-online-yoga-classes.html. ",,,,40.721421,-73.999031,Chain Location Closed,https://nycyogastudiosarchive.omeka.net/items/show/50
Y7 Studio (TriBeCa),"“Y7 Studio Has Closed Permanently, Joining Four Others.” Tribeca Citizen. June 24, 2021. https://tribecacitizen.com/2021/06/24/y7-yoga-studio-has-closed-permanently-joining-four-others/.","Adelson, Karen Iorio. “Everything You Need for At-Home Hot Yoga, According to Instructors.” The Strategist, March 1, 2021. https://nymag.com/strategist/article/everything-you-need-for-at-home-hot-yoga.html. ",,,40.71862883718978,-74.00616423618328,Chain Location Closed,https://nycyogastudiosarchive.omeka.net/items/show/226
Yo BK (Greenpoint),"Kott, Julia. “Support Local Fitness Studios and Workout Online.” Greenpointers, January 22, 2021. https://greenpointers.com/2021/01/22/greenpoint-fitness-studios-2021/.",,,,40.72467319605966,-73.97226088609496,Brooklyn Yoga,https://nycyogastudiosarchive.omeka.net/items/show/143
Yoga Spark,"“Y7 Studio Has Closed Permanently, Joining Four Others.” Tribeca Citizen. June 24, 2021. https://tribecacitizen.com/2021/06/24/y7-yoga-studio-has-closed-permanently-joining-four-others/.",,,,40.7166557,-74.0087986,Manhattan Yoga,https://nycyogastudiosarchive.omeka.net/items/show/206
Yoga To The People,"Cut, The. “Do You Actually Miss Yoga Studios?” The Cut, January 20, 2021. https://www.thecut.com/2021/01/the-cut-podcast-do-you-actually-miss-yoga-studios.html#_ga=2.248445326.863494429.1691029923-702824103.1687828664",,,,40.7523508,-73.9862816,Closed Yoga Studios,https://nycyogastudiosarchive.omeka.net/items/show/54
Yoga Vida (TriBeCa),"“How Will Our Local Studios Survive?” Tribeca Citizen, January 21, 2021. https://tribecacitizen.com/2021/01/21/how-will-our-local-studios-survive/.","“Y7 Studio Has Closed Permanently, Joining Four Others.” Tribeca Citizen. June 24, 2021. https://tribecacitizen.com/2021/06/24/y7-yoga-studio-has-closed-permanently-joining-four-others/.",,,40.7224656,-74.0106399,Closed Yoga Studios,https://nycyogastudiosarchive.omeka.net/items/show/59
Yoga Vida NoHo,"Alcorn, Ted. “Is This the End of the New York Yoga Studio?” The New York Times. The New York Times, September 17, 2020. https://www.nytimes.com/2020/09/17/nyregion/coronavirus-nyc-yoga-studios.html",,,,40.7271792,-73.9949847,Closed Yoga Studios,https://nycyogastudiosarchive.omeka.net/items/show/58
Yogaworks (UES),"Rice, Andrea. “After Years Of Financial Struggles, Yogaworks To Permanently Close In New York.” Yoga Journal, April 17, 2020. https://www.yogajournal.com/teach/teaching-methods/yogaworks-closes-in-new-york/.","Cunningham, Emma. “Teachers Reflect on YogaWorks’ Decision to Close Their Studios.” yogainternational.com, October 14, 2020. https://yogainternational.com/article/view/teachers-reflect-on-yogaworks-decision-to-close-their-studios. ","Alcorn, Ted. “Is This the End of the New York Yoga Studio?” The New York Times. The New York Times, September 17, 2020. https://www.nytimes.com/2020/09/17/nyregion/coronavirus-nyc-yoga-studios.html",,40.771927,-73.9586655,Closed Yoga Studios,https://nycyogastudiosarchive.omeka.net/items/show/63
